id,created_at,updated_at,name,email,phone,cni,cne,referral,turnover
524,1/20/2023 19:13,1/25/2023 15:47,Erik White,gisselle.lang@senger.net,1-631-567-7188,76,7,facebook,233.98
525,1/19/2023 11:53,1/25/2023 15:47,Adriel Roberts,clark86@heaney.biz,915.665.5123,835221,3329,facebook,241.17
526,1/21/2023 14:34,1/25/2023 15:47,Carlee Greenfelder,autumn14@yahoo.com,+1 (203) 906-6528,7568347,4,facebook,207.66
527,1/19/2023 13:59,1/25/2023 15:47,Mauricio Rodriguez DVM,estelle45@treutel.info,+1.828.420.0330,95014,183,linkdin,219.9
528,1/18/2023 17:51,1/25/2023 15:47,Vickie Rutherford II,patrick.hamill@yahoo.com,920.376.6277,70782,645821,instagram,260.87
529,1/18/2023 17:30,1/25/2023 15:47,Courtney Heller,reinger.lonnie@nitzsche.info,(445) 410-9366,40024,5294,facebook,218.81
530,1/18/2023 19:19,1/25/2023 15:47,Ana Ankunding,carmine.wunsch@hotmail.com,951.609.7622,11872,539554,facebook,211.59
531,1/19/2023 8:27,1/25/2023 15:47,Alexzander Lebsack,iliana93@gmail.com,(620) 788-5603,8677,702,instagram,281.81
532,1/21/2023 17:57,1/25/2023 15:47,Dr. Howell Prohaska,hailey88@hermann.com,561-912-5752,2,630045,facebook,231.93
533,1/19/2023 20:55,1/25/2023 15:47,Prof. Regan D'Amore,beahan.cleve@yahoo.com,-7810,88171,158,instagram,264.19
534,1/23/2023 9:25,1/25/2023 15:47,Dr. Cierra Sanford,santiago.veum@gmail.com,(616) 610-5301,4361,71238,linkdin,250.12
535,1/22/2023 20:41,1/25/2023 15:47,Miss Katharina Abernathy,fisher.noelia@yahoo.com,253-918-6112,2910607,9903,instagram,255.2
536,1/19/2023 12:03,1/25/2023 15:47,Phoebe Leannon,cheyanne01@hotmail.com,810.512.2448,0,24750951,instagram,291.64
537,1/19/2023 15:27,1/25/2023 15:47,Maddison Bayer,adams.michele@gmail.com,(743) 967-7216,2114445,3300,facebook,299.09
538,1/23/2023 10:40,1/25/2023 15:47,Lina Buckridge,haag.krystel@berge.com,(507) 791-6342,285218144,8870,youtube,236.06
539,1/23/2023 9:49,1/25/2023 15:47,Meda Brown III,maritza.swaniawski@gmail.com,586-768-5874,92775,8274784,youtube,271.23
540,1/19/2023 11:27,1/25/2023 15:47,Carley Beahan,larkin.lea@renner.com,-4923,157487,7,linkdin,283.63
541,1/19/2023 11:45,1/25/2023 15:47,Miss Kenna Marquardt II,jamaal37@hotmail.com,270.967.4254,210,5334147,youtube,266.57
542,1/22/2023 8:07,1/25/2023 15:47,Lorenzo Konopelski,schinner.ellie@hotmail.com,-3654,874113288,622,instagram,213.92
543,1/18/2023 20:10,1/25/2023 15:47,Sibyl Fritsch,leonard.fritsch@gmail.com,+1.276.999.6275,444,303409693,linkdin,260.71
544,1/23/2023 11:47,1/25/2023 15:47,Roxanne Durgan,amorar@roberts.com,+1 (646) 296-7135,29714019,14433720,facebook,273.5
545,1/20/2023 12:20,1/25/2023 15:47,Aaron Shanahan,naomie42@yahoo.com,+1 (762) 866-4740,10256928,57900,youtube,209.77
546,1/22/2023 17:10,1/25/2023 15:47,Loma Pacocha,flavio82@nolan.com,480-783-7847,55177,8661,youtube,201.42
547,1/21/2023 8:59,1/25/2023 15:47,Patsy Howell,mkemmer@gmail.com,820-455-4243,67273100,393727,facebook,290.89
548,1/21/2023 5:03,1/25/2023 15:47,Dr. Brandon Bosco,ipollich@lehner.com,-8469,4543878,862,youtube,290.36
549,1/23/2023 14:44,1/25/2023 15:47,Prof. Lauren Conroy MD,tsteuber@hotmail.com,-1752,5,78,instagram,259.79
550,1/21/2023 22:36,1/25/2023 15:47,Damon Keeling,frankie84@hotmail.com,319.487.5745,87,150,instagram,269.24
551,1/18/2023 21:06,1/25/2023 15:47,Prof. Blaise Kihn MD,wyman.nora@yahoo.com,423-656-2634,80597,4,linkdin,238.89
552,1/20/2023 12:19,1/25/2023 15:47,Lelia Bauch DVM,feest.theron@hettinger.info,+1 (281) 769-5339,393806,7540,youtube,297.14
553,1/21/2023 14:12,1/25/2023 15:47,Clotilde Weimann III,reyes26@yahoo.com,+1 (267) 646-9195,73,49,youtube,224.23
554,1/19/2023 1:23,1/25/2023 15:47,Dr. Cora Crona,carolina19@hotmail.com,1-347-447-1311,94369,4238820,facebook,240.69
555,1/23/2023 4:10,1/25/2023 15:47,Mr. Elbert Lemke DVM,adolf.goyette@hotmail.com,586-530-6101,46613,78391,instagram,201.72
